DB,DB Object ID,DB Object Symbol,Qualifier,GO ID,DB:Reference,Evidence Code,With (or) From,Aspect,DB Object Name,DB Object Synonym,DB Object Type,Taxon,Date,Assigned By,Annotation Extension,Gene Product Form ID
UniProtKB,A4IJ84,dnaA,,GO:0000166,GO_REF:0000037,IEA,UniProtKB-KW:KW-0547,F,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0003677,GO_REF:0000002,IEA,InterPro:IPR001957|InterPro:IPR018312,F,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,InterPro,,
UniProtKB,A4IJ84,dnaA,,GO:0003677,GO_REF:0000037,IEA,UniProtKB-KW:KW-0238,F,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0003688,GO_REF:0000002,IEA,InterPro:IPR001957|InterPro:IPR018312,F,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,InterPro,,
UniProtKB,A4IJ84,dnaA,,GO:0003688,GO_REF:0000104,IEA,UniRule:UR000084164,F,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0005524,GO_REF:0000002,IEA,InterPro:IPR001957|InterPro:IPR013159|InterPro:IPR018312,F,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,InterPro,,
UniProtKB,A4IJ84,dnaA,,GO:0005524,GO_REF:0000037,IEA,UniProtKB-KW:KW-0067,F,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0005524,GO_REF:0000104,IEA,UniRule:UR000084164,F,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0005737,GO_REF:0000037,IEA,UniProtKB-KW:KW-0963,C,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0005737,GO_REF:0000039,IEA,UniProtKB-SubCell:SL-0086,C,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0005737,GO_REF:0000104,IEA,UniRule:UR000084164,C,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0006260,GO_REF:0000037,IEA,UniProtKB-KW:KW-0235,P,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0006270,GO_REF:0000002,IEA,InterPro:IPR001957|InterPro:IPR013159|InterPro:IPR018312,P,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,InterPro,,
UniProtKB,A4IJ84,dnaA,,GO:0006270,GO_REF:0000104,IEA,UniRule:UR000084164,P,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0006275,GO_REF:0000002,IEA,InterPro:IPR001957|InterPro:IPR013159|InterPro:IPR018312,P,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,InterPro,,
UniProtKB,A4IJ84,dnaA,,GO:0006275,GO_REF:0000104,IEA,UniRule:UR000084164,P,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ84,dnaA,,GO:0043565,GO_REF:0000002,IEA,InterPro:IPR010921|InterPro:IPR013159,F,Chromosomal replication initiator protein DnaA,dnaA|GTNG_0001,protein,taxon:420246,20191214,InterPro,,
UniProtKB,A4IJ85,GTNG_0002,,GO:0003677,GO_REF:0000002,IEA,InterPro:IPR001001|InterPro:IPR022634|InterPro:IPR022635,F,Beta sliding clamp,GTNG_0002,protein,taxon:420246,20191214,InterPro,,
UniProtKB,A4IJ85,GTNG_0002,,GO:0003677,GO_REF:0000038,IEA,UniProtKB-KW:KW-0238,F,Beta sliding clamp,GTNG_0002,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ85,GTNG_0002,,GO:0003677,GO_REF:0000104,IEA,UniRule:UR000017401,F,Beta sliding clamp,GTNG_0002,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ85,GTNG_0002,,GO:0003887,GO_REF:0000002,IEA,InterPro:IPR022634|InterPro:IPR022635|InterPro:IPR022637,F,Beta sliding clamp,GTNG_0002,protein,taxon:420246,20191214,InterPro,,
UniProtKB,A4IJ85,GTNG_0002,,GO:0003887,GO_REF:0000038,IEA,UniProtKB-KW:KW-0239,F,Beta sliding clamp,GTNG_0002,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ85,GTNG_0002,,GO:0003887,GO_REF:0000104,IEA,UniRule:UR000017401,F,Beta sliding clamp,GTNG_0002,protein,taxon:420246,20191214,UniProt,,
UniProtKB,A4IJ85,GTNG_0002,,GO:0005737,GO_REF:0000038,IEA,UniProtKB-KW:KW-0963,C,Beta sliding clamp,GTNG_0002,protein,taxon:420246,20191214,UniProt,,
